remote_host,ident,user,time_raw,time_iso,time_epoch,method,uri,protocol,status,bytes_sent,referer,user_agent
2620:96:e000:b0cc:e:2:1:5,,,07/Aug/2022:09:47:34 -0500,2022-08-07T09:47:34-05:00,1659883654,PRI,*,HTTP/2.0,400,226.0,,
77.73.49.254,,,07/Aug/2022:10:53:39 -0500,2022-08-07T10:53:39-05:00,1659887619,GET,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
188.212.168.77,,,07/Aug/2022:10:54:19 -0500,2022-08-07T10:54:19-05:00,1659887659,GET,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7"
94.236.193.137,,,07/Aug/2022:11:19:56 -0500,2022-08-07T11:19:56-05:00,1659889196,GET,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
38.75.137.54,,,07/Aug/2022:11:24:43 -0500,2022-08-07T11:24:43-05:00,1659889483,GET,/,HTTP/1.1,301,232.0,,
114.31.8.22,,,07/Aug/2022:11:25:22 -0500,2022-08-07T11:25:22-05:00,1659889522,GET,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7"
195.3.146.91,,,07/Aug/2022:11:30:38 -0500,2022-08-07T11:30:38-05:00,1659889838,GET,/,HTTP/1.1,301,232.0,,Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1
20.14.74.88,,,07/Aug/2022:11:41:12 -0500,2022-08-07T11:41:12-05:00,1659890472,GET,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0 Safari/537.36"
128.14.209.162,,,07/Aug/2022:12:00:30 -0500,2022-08-07T12:00:30-05:00,1659891630,GET,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
185.254.196.223,,,07/Aug/2022:12:24:04 -0500,2022-08-07T12:24:04-05:00,1659893044,GET,/.env,HTTP/1.1,301,236.0,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
185.254.196.223,,,07/Aug/2022:12:24:04 -0500,2022-08-07T12:24:04-05:00,1659893044,POST,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
45.155.126.211,,,07/Aug/2022:12:30:12 -0500,2022-08-07T12:30:12-05:00,1659893412,GET,/,HTTP/1.1,301,232.0,,Mozilla/5.0 (compatible; tchelebi/1.0; +http://tchelebi.io)
185.196.220.70,,,07/Aug/2022:13:01:27 -0500,2022-08-07T13:01:27-05:00,1659895287,GET,/,HTTP/1.1,301,232.0,,Linux Gnu (cow)
185.21.216.169,,,07/Aug/2022:13:05:58 -0500,2022-08-07T13:05:58-05:00,1659895558,GET,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
62.233.50.179,,,07/Aug/2022:13:14:17 -0500,2022-08-07T13:14:17-05:00,1659896057,\x03,,,400,226.0,,
130.162.169.44,,,07/Aug/2022:13:24:48 -0500,2022-08-07T13:24:48-05:00,1659896688,GET,/.env,HTTP/1.1,301,236.0,,
130.162.169.44,,,07/Aug/2022:13:25:05 -0500,2022-08-07T13:25:05-05:00,1659896705,GET,/phpinfo,HTTP/1.1,301,239.0,,
130.162.169.44,,,07/Aug/2022:13:25:05 -0500,2022-08-07T13:25:05-05:00,1659896705,GET,/phpinfo.php,HTTP/1.1,301,243.0,,
130.162.169.44,,,07/Aug/2022:13:25:05 -0500,2022-08-07T13:25:05-05:00,1659896705,GET,/info.php,HTTP/1.1,301,240.0,,
130.162.169.44,,,07/Aug/2022:13:25:06 -0500,2022-08-07T13:25:06-05:00,1659896706,GET,/php.php,HTTP/1.1,301,239.0,,
190.36.178.212,,,07/Aug/2022:14:35:07 -0500,2022-08-07T14:35:07-05:00,1659900907,GET,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
37.0.15.245,,,07/Aug/2022:14:41:03 -0500,2022-08-07T14:41:03-05:00,1659901263,GET,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0 Safari/537.36"
185.254.196.223,,,07/Aug/2022:15:23:19 -0500,2022-08-07T15:23:19-05:00,1659903799,GET,/.env,HTTP/1.1,301,236.0,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
185.254.196.223,,,07/Aug/2022:15:23:19 -0500,2022-08-07T15:23:19-05:00,1659903799,POST,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
94.102.61.10,,,07/Aug/2022:15:26:11 -0500,2022-08-07T15:26:11-05:00,1659903971,GET,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
125.227.127.195,,,07/Aug/2022:15:50:44 -0500,2022-08-07T15:50:44-05:00,1659905444,GET,/wp-login.php,HTTP/1.1,301,253.0,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96
34.76.158.233,,,07/Aug/2022:15:57:00 -0500,2022-08-07T15:57:00-05:00,1659905820,GET,/,HTTP/1.1,301,232.0,,python-requests/2.28.1
216.41.151.134,,,07/Aug/2022:16:39:04 -0500,2022-08-07T16:39:04-05:00,1659908344,GET,/,HTTP/1.1,301,241.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
184.176.29.131,,,07/Aug/2022:17:19:02 -0500,2022-08-07T17:19:02-05:00,1659910742,GET,/,HTTP/1.1,301,241.0,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:103.0) Gecko/20100101 Firefox/103.0
184.176.29.131,,,07/Aug/2022:17:19:40 -0500,2022-08-07T17:19:40-05:00,1659910780,GET,/,HTTP/1.1,301,241.0,,Wget/1.19.4 (linux-gnu)
66.249.70.44,,,07/Aug/2022:17:20:59 -0500,2022-08-07T17:20:59-05:00,1659910859,GET,/robots.txt,HTTP/1.1,301,242.0,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
66.249.70.40,,,07/Aug/2022:17:20:59 -0500,2022-08-07T17:20:59-05:00,1659910859,GET,/,HTTP/1.1,301,232.0,,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.79 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
184.176.29.131,,,07/Aug/2022:17:44:48 -0500,2022-08-07T17:44:48-05:00,1659912288,GET,/,HTTP/1.1,301,241.0,,Wget/1.19.4 (linux-gnu)
